codigo_ies,nombre_ies,tipo_finan,tipo,base,x,y,dpa_parroq,dpa_despar,dpa_canton,dpa_descan,dpa_provin,dpa_despro,dpa_anio,txt,fcode,dpa_cab,da_dist,da_zona,longitud,latitud
1057.0,INSTITUTO DE ALTOS ESTUDIOS NACIONALES,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,779512.56927,9976738.90124,170123.0,MARISCAL SUCRE,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D05,9.0,-78.488884,-0.21024699999
1058.0,UNIVERSIDAD ESTATAL AMAZONICA,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,834316.570836,9837410.81967,160150.0,PUYO,1601.0,PASTAZA,16.0,PASTAZA,2023.0,CABECERA CANTONAL,HA004,,16D01,3.0,-77.995985,-1.46895800003
1059.0,UNIVERSIDAD DE OTAVALO,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,805078.840204,10026170.935,100401.0,JORDÁN,1004.0,OTAVALO,10.0,IMBABURA,2023.0,PARROQUIA URBANA,HA004,100450.0,10D02,1.0,-78.259363,0.23650400006
1060.0,UNIVERSIDAD PARTICULAR SAN GREGORIO DE PORTOVIEJO,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,559100.231747,9882511.07006,130106.0,ANDRÉS DE VERA,1301.0,PORTOVIEJO,13.0,MANABÍ,2023.0,PARROQUIA URBANA,HA004,130150.0,13D01,4.0,-80.468798,-1.06291199999
1068.0,UNIVERSIDAD INTERCULTURAL DE LAS NACIONALIDADES Y PUEBLOS INDIGENAS AMAWTAY WASI,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,779435.092795,9977734.09314,170123.0,MARISCAL SUCRE,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D05,9.0,-78.489581,-0.201252
1070.0,UNIVERSIDAD DE LOS HEMISFERIOS,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,777789.82909,9980480.2132,170127.0,RUMIPAMBA,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D05,9.0,-78.504356,-0.17643300003
1073.0,UNIVERSIDAD IBEROAMERICANA DEL ECUADOR,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,779435.092795,9977734.09314,170123.0,MARISCAL SUCRE,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D05,9.0,-78.489581,-0.201252
1074.0,UNIVERSIDAD POLITECNICA ESTATAL DEL CARCHI,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,863578.14353,10089108.9422,40102.0,TULCÁN,401.0,TULCÁN,4.0,CARCHI,2023.0,PARROQUIA URBANA,HA004,40150.0,04D01,1.0,-77.734076,0.80487799989
1077.0,UNIVERSIDAD TECNOLOGICA ECOTEC,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,627133.64026,9774547.00018,91601.0,SAMBORONDÓN,916.0,SAMBORONDÓN,9.0,GUAYAS,2023.0,PARROQUIA URBANA,HA004,91650.0,09D23,8.0,-79.856839,-2.03932699998
1079.0,UNIVERSIDAD DE LAS FUERZAS ARMADAS ESPE,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,784414.19894,9965126.6842,170501.0,SANGOLQUÍ,1705.0,RUMIÑAHUI,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170550.0,17D11,2.0,-78.444856,-0.31519400002
1080.0,UNIVERSIDAD REGIONAL AMAZONICA IKIAM,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,849232.339955,9894812.80578,150158.0,SAN JUAN DE MUYUNA,1501.0,TENA,15.0,NAPO,2023.0,PARROQUIA RURAL,HA004,,15D01,2.0,-77.862687,-0.95022499999
1081.0,UNIVERSIDAD DE INVESTIGACION DE TECNOLOGIA EXPERIMENTAL YACHAY,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,814398.190228,10044765.147,100650.0,URCUQUÍ,1006.0,SAN MIGUEL DE URCUQUÍ,10.0,IMBABURA,2023.0,CABECERA CANTONAL,HA004,,10D01,1.0,-78.175665,0.40450899997
1082.0,UNIVERSIDAD DE LAS ARTES,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,624470.391851,9757393.06743,90110.0,ROCAFUERTE,901.0,GUAYAQUIL,9.0,GUAYAS,2023.0,PARROQUIA URBANA,HA004,90150.0,09D03,8.0,-79.880672,-2.19450900003
1083.0,UNIVERSIDAD NACIONAL DE EDUCACION UNAE,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,736690.301596,9689828.95839,30154.0,JAVIER LOYOLA,301.0,AZOGUES,3.0,CAÑAR,2023.0,PARROQUIA RURAL,HA004,,03D01,6.0,-78.870882,-2.80424500002
3013.0,UNIVERSIDAD DEL RIO,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,619581.425995,9760693.51283,90112.0,TARQUI,901.0,GUAYAQUIL,9.0,GUAYAS,2023.0,PARROQUIA URBANA,HA004,90150.0,09D06,8.0,-79.924653,-2.164687
3027.0,UNIVERSIDAD BOLIVARIANA DEL ECUADOR,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,632336.069732,9758925.82098,90750.0,ELOY ALFARO,907.0,DURÁN,9.0,GUAYAS,2023.0,CABECERA CANTONAL,HA004,90750.0,09D24,8.0,-79.809959,-2.18058999996
3068.0,UNIVERSIDAD DE SEGURIDAD CIUDADANA Y CIENCIAS POLICIALES - USECIPOL,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,780919.47084,9992797.35026,170177.0,POMASQUI,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA RURAL,HA004,,17D03,9.0,-78.476268,-0.06510100001
3069.0,UNIVERSIDAD PUBLICA DE SANTO DOMINGO DE LOS TSACHILAS,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,702748.027321,9971935.5133,230102.0,BOMBOLÍ,2301.0,SANTO DOMINGO,23.0,SANTO DOMINGO DE LOS TSÁCHILAS,2023.0,PARROQUIA URBANA,HA004,230150.0,23D02,4.0,-79.178246,-0.253779
1002.0,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,PUBLICA,SEDE,Universidades y Escuelas Politécnicas,821042.91451,9746419.98485,140150.0,MACAS,1401.0,MORONA,14.0,MORONA SANTIAGO,2023.0,CABECERA CANTONAL,HA004,,14D01,6.0,-78.113801,-2.29127899998
