CODIGO_IES,NOMBRE_IES,TIPO_FINAN,TIPO,BASE,X,Y,DPA_PARROQ,DPA_DESPAR,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,DPA_ANIO,txt,fcode,DPA_CAB,DA_DIST,DA_ZONA,Longitud,Latitud
1042.000000,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,766856.045235,9856623.242150,"180166",TOTORAS,"1801",AMBATO,"18",TUNGURAHUA,"2023",PARROQUIA RURAL,HA004,,"18D02",3.000000,-78.60192700000,-1.29602900000
1044.000000,UNIVERSIDAD DEL PACIFICO ESCUELA DE NEGOCIOS,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,617043.643518,9758678.411140,"090112",TARQUI,"0901",GUAYAQUIL,"09",GUAYAS,"2023",PARROQUIA URBANA,HA004,"090150","09D09",8.000000,-79.94745900000,-2.18293100002
1045.000000,UNIVERSIDAD TECNOLOGICA INDOAMERICA,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,762691.972389,9859579.961300,"180103",HUACHI CHICO,"1801",AMBATO,"18",TUNGURAHUA,"2023",PARROQUIA URBANA,HA004,"180150","18D02",3.000000,-78.63935000000,-1.26933700004
1049.000000,UNIVERSIDAD CASA GRANDE,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,620353.144891,9760370.153570,"090112",TARQUI,"0901",GUAYAQUIL,"09",GUAYAS,"2023",PARROQUIA URBANA,HA004,"090150","09D06",8.000000,-79.91771200000,-2.16760700003
1050.000000,UNIVERSIDAD TECNOLOGICA EMPRESARIAL DE GUAYAQUIL,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,621531.695308,9760516.009670,"090112",TARQUI,"0901",GUAYAQUIL,"09",GUAYAS,"2023",PARROQUIA URBANA,HA004,"090150","09D05",8.000000,-79.90711600000,-2.16628000000
1051.000000,UNIVERSIDAD TECNOLOGICA ISRAEL,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,779133.760068,9978169.826950,"170123",MARISCAL SUCRE,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D05",9.000000,-78.49228700000,-0.19731399999
1053.000000,UNIVERSIDAD DE ESPECIALIDADES TURISTICAS,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,778028.968335,9987625.599180,"170106",COTOCOLLAO,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D03",9.000000,-78.50221600000,-0.11184800001
1056.000000,UNIVERSIDAD METROPOLITANA,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,622992.145910,9762442.541070,"090112",TARQUI,"0901",GUAYAQUIL,"09",GUAYAS,"2023",PARROQUIA URBANA,HA004,"090150","09D05",8.000000,-79.89399700000,-2.14884399996
1057.000000,INSTITUTO DE ALTOS ESTUDIOS NACIONALES,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,779512.569270,9976738.901240,"170123",MARISCAL SUCRE,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D05",9.000000,-78.48888400000,-0.21024699999
1058.000000,UNIVERSIDAD ESTATAL AMAZONICA,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,834316.570836,9837410.819670,"160150",PUYO,"1601",PASTAZA,"16",PASTAZA,"2023",CABECERA CANTONAL,HA004,,"16D01",3.000000,-77.99598500000,-1.46895800003
1059.000000,UNIVERSIDAD DE OTAVALO,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,805078.840204,10026170.935000,"100401",JORDÁN,"1004",OTAVALO,"10",IMBABURA,"2023",PARROQUIA URBANA,HA004,"100450","10D02",1.000000,-78.25936300000,0.23650400006
1060.000000,UNIVERSIDAD PARTICULAR SAN GREGORIO DE PORTOVIEJO,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,559100.231747,9882511.070060,"130106",ANDRÉS DE VERA,"1301",PORTOVIEJO,"13",MANABÍ,"2023",PARROQUIA URBANA,HA004,"130150","13D01",4.000000,-80.46879800000,-1.06291199999
